time,roll,pitch,yaw,roll_mod,pitch_mod,yaw_mod
1572379264.2,2.28125,-0.296875,73.6875,2.2812500000000004,-0.29687500000000006,73.68750000000001
1572379264.21,2.28125,-0.296875,73.71875,2.28125,-0.29687499999999994,73.71875000000001
1572379264.23,2.28125,-0.296875,73.71875,2.28125,-0.29687499999999994,73.71875000000001
1572379264.25,2.28125,-0.296875,73.71875,2.28125,-0.29687499999999994,73.71875000000001
1572379264.27,2.28125,-0.296875,73.75,2.28125,-0.2968749999999999,73.75000000000001
1572379264.29,2.28125,-0.296875,73.75,2.28125,-0.2968749999999999,73.75000000000001
1572379264.31,2.28125,-0.296875,73.75,2.28125,-0.2968749999999999,73.75000000000001
1572379264.33,2.28125,-0.296875,73.75,2.28125,-0.2968749999999999,73.75000000000001
1572379264.35,2.265625,-0.296875,73.796875,2.2656250000000004,-0.29687500000000006,73.79687500000001
1572379264.37,2.265625,-0.296875,73.796875,2.2656250000000004,-0.29687500000000006,73.79687500000001
1572379264.39,2.265625,-0.296875,73.796875,2.2656250000000004,-0.29687500000000006,73.79687500000001
1572379264.45,2.265625,-0.28125,73.859375,2.2656250000000004,-0.2812499999999998,73.859375
1572379264.45,2.265625,-0.28125,73.859375,2.2656250000000004,-0.2812499999999998,73.859375
1572379264.46,2.265625,-0.28125,73.890625,2.265625,-0.28125,73.89062499999999
1572379264.5,2.265625,-0.28125,73.890625,2.265625,-0.28125,73.89062499999999
1572379264.5,2.265625,-0.28125,73.890625,2.265625,-0.28125,73.89062499999999
1572379264.51,2.265625,-0.28125,73.9375,2.265625,-0.2812499999999999,73.93749999999999
1572379264.53,2.265625,-0.28125,73.9375,2.265625,-0.2812499999999999,73.93749999999999
1572379264.56,2.265625,-0.28125,73.96875,2.265625,-0.2812500000000002,73.96875
1572379264.57,2.265625,-0.28125,73.96875,2.265625,-0.2812500000000002,73.96875
1572379264.59,2.265625,-0.28125,73.96875,2.265625,-0.2812500000000002,73.96875
1572379264.62,2.28125,-0.265625,74.03125,2.28125,-0.2656250000000003,74.03125
